Issue Type;Issue key;Issue id;Parent id;Summary;Assignee;Priority;Status;Sprint;Custom field (Story Points);ë£ Original Estimate;ë£ Remaining Estimate;Labels;Labels;Labels;Created;Custom field (Epic Link)
Bug;Project1-1761;13850;;Title task 88;assignee3;Medium;Done;Project1 Sprint 14;3.0;7200;0;Config_service;;;28/01/19 13:12;
Bug;Project1-1760;13849;;Title task 89;assignee9;Medium;Done;Project1 Sprint 14;1.0;3600;0;Config_service;;;28/01/19 13:11;
Bug;Project1-1759;13848;;Title task 90;assignee3;Medium;Done;Project1 Sprint 14;5.0;14400;0;;;;28/01/19 13:10;
Bug;Project1-1755;13843;;Title task 91;assignee2;Medium;Done;Project1 Sprint 14;;;0;SDK-SCM;;;28/01/19 12:21;
Bug;Project1-1752;13840;;Title task 92;assignee1;Highest;Done;Project1 Sprint 14;21.0;91800;0;Device_Service;;;28/01/19 12:21;
Bug;Project1-1739;13805;;Title task 93;assignee11;Medium;Done;Project1 Sprint 14;5.0;30600;0;SDK-3;;;21/01/19 12:38;
Bug;Project1-1724;13784;;Title task 94;assignee11;Medium;Done;Project1 Sprint 14;5.0;30600;0;Reporting_service;;;14/01/19 11:32;
Bug;Project1-1677;13672;;Title task 95;assignee1;Medium;Done;Project1 Sprint 14;5.0;14400;1800;NW_Service;;;07/01/19 14:41;
Bug;Project1-1667;13627;;Title task 96;assignee6;Medium;Done;Project1 Sprint 14;8.0;30600;0;SDK-2;;;28/Dec/18 9:48 AM;
Bug;Project1-1666;13626;;Title task 97;assignee12;Medium;Done;Project1 Sprint 14;;;;SDK-4;;;28/Dec/18 9:47 AM;
Bug;Project1-1658;13617;;Title task 98;assignee2;Medium;Done;Project1 Sprint 14;5.0;;0;SDK-2;;;27/Dec/18 3:19 PM;
Bug;Project1-1656;13615;;Title task 99;assignee6;Medium;Done;Project1 Sprint 14;5.0;18000;0;SDK-3;;;27/Dec/18 3:19 PM;
Bug;Project1-1655;13614;;Title task 100;assignee2;Medium;Done;Project1 Sprint 14;1.0;300;0;SDK-3;;;27/Dec/18 3:19 PM;
Bug;Project1-1652;13611;;Title task 101;assignee2;Medium;Done;Project1 Sprint 14;5.0;;0;SDK-3;;;27/Dec/18 3:19 PM;
Bug;Project1-1651;13610;;Title task 102;assignee2;Medium;Done;Project1 Sprint 14;5.0;;0;SDK-3;;;27/Dec/18 3:19 PM;
Bug;Project1-1647;13604;;Title task 103;assignee11;Medium;Done;Project1 Sprint 14;8.0;30600;0;Reporting_service;;;21/Dec/18 11:33 AM;
Bug;Project1-1646;13603;;Title task 104;assignee12;Medium;Done;Project1 Sprint 14;;;;SDK-5;;;21/Dec/18 11:33 AM;
Bug;Project1-1645;13602;;Title task 105;assignee2;Medium;Done;Project1 Sprint 14;21.0;91800;0;SDK-4;;;21/Dec/18 11:33 AM;
Sub-task;Project1-1634;13591;13590;Title task 106;assignee11;Medium;Done;Project1 Sprint 13;;30600;0;;;;21/Dec/18 11:09 AM;
Task;Project1-1628;13585;;Title task 107;acoullandreau;High;Done;Project1 Sprint 14;1.0;15300;0;;;;20/Dec/18 4:50 PM;
Sub-task;Project1-1617;13574;11629;Title task 108;assignee11;Medium;Done;Project1 Sprint 12;;30600;0;;;;20/Dec/18 3:43 PM;
Sub-task;Project1-1616;13573;11629;Title task 109;assignee11;Medium;Done;Project1 Sprint 12;;30600;0;;;;20/Dec/18 3:42 PM;
Bug;Project1-1596;13536;;Title task 110;assignee12;Medium;Done;Project1 Sprint 14;8.0;30600;0;SDK-9;;;14/Dec/18 1:03 PM;
Bug;Project1-1595;13535;;Title task 111;assignee2;Medium;Done;Project1 Sprint 14;3.0;;0;SDK-1;;;14/Dec/18 1:03 PM;
Story;Project1-1578;13505;;Title task 112;assignee2;Medium;Done;Project1 Sprint 14;5.0;;0;SDK-4;;;11/Dec/18 1:07 PM;
